Count,Fileid,Sex,Birth place,L1,L3,Age,L2Onset,StayOfPurpose,EngResidence,LOR,Target,Filename,Recognized,LenS,LenR,N_RecW,RecRate,Recognized_words,MissRec_words
30,80,Female,Seoul,korean ,"japanese, spanish",42,13,academic,usa,19.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean80.mp3,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five big slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.",69,69,69,100.0,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, big, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station",
31,85,Female,Seoul,korean ,mandarin,20,14,academic,usa,5.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean85.mp3,"Please call Stella, ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we'll go meet her Wednesday at the train station.",69,69,68,98.55,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, we, go, meet, her, wednesday, at, the, train, station",ll
32,86,Female,Seoul,korean ,mandarin,21,6,academic,singaporeusa,2.5,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean86.mp3,"Police called Stella asked her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snack and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station. For more information visit www.FEMA.gov",69,76,67,97.1,"stella, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snack, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station, for","police, called, asked, more, information, visit, www, fema, gov"
33,88,Female,Seoul,korean ,none,24,9,academic,usa,4.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean88.mp3,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and will go with her Wednesday at the train station.",69,68,68,98.55,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, will, go, with, her, wednesday, at, the, train, station",
34,90,Female,Seoul,korean ,"japanese, french",35,12,academic,usa,6.8,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean90.mp3,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slaps of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.",69,69,68,98.55,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, thick, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station",slaps
35,91,Female,Seoul,korean ,japanese,43,14,academic,usa,7.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean91.mp3,"Please call Stella. Ask her to bring these things with her from the store. 6 spoons of fresh snow peas, 5 thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snack and a big toy frog for the kids. She can scoop these things into three red bags and will go with her Wednesday at the train station.",69,68,66,95.65,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, spoons, of, fresh, snow, peas, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snack, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, will, go, with, her, wednesday, at, the, train, station","6, 5"
36,92,Female,Seoul,korean ,none,19,6,naturalistic,marianaislandusa,12.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean92.mp3,"Please call Stella, ask her to bring these things with her. From the store, 6 spoons of fresh snow peas, 5 thick slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into 3 red bags and we will go meet her Wednesday at the train station.",69,69,66,95.65,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, spoons, of, fresh, snow, peas, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station","6, 5, 3"
37,93,Female,Seoul,korean ,french,23,7,academic,usa,0.8,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean93.mp3,"Please call Stella, ask her to bring these things with her from the store. 6 spoons of fresh snow peas, 5 fig slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snack and a big toy frog for the kids. She can scoop these things into 3 red bags and he will go meet her Wednesday at the train station.",69,69,64,92.75,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, spoons, of, fresh, snow, peas, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snack, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, red, bags, and, will, go, meet, her, wednesday, at, the, train, station","6, 5, fig, 3, he"
38,95,Female,Seoul,korean ,none,36,13,academic,usa,12.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean95.mp3,"Please call Stella, ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob. We also need a small plastic snack and a big toy, a frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.",69,70,70,101.45,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, thick, slabs, of, blue, cheese, and, maybe, a, snack, for, her, brother, bob, we, also, need, a, small, plastic, snack, and, a, big, toy, a, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station",
39,96,Female,Seoul,korean ,mandarin,21,10,academic,usa,0.7,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean96.mp3,"Please call Stella. Ask her to bring these things with her from the store. 6 spoons of flesh snow peas, 5 thick slabs of blue cheese, and maybe a snack of her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into 3 red bags and we will go meet her Wednesday at the train station.",69,69,65,94.2,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, spoons, of, snow, peas, thick, slabs, of, blue, cheese, and, maybe, a, snack, of, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station","6, flesh, 5, 3"
40,97,Female,Seoul,korean ,none,49,13,academic,usa,15.0,"Please call Stella.  Ask her to bring these things with her from the store:  Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  We also need a small plastic snake and a big toy frog for the kids.  She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.",korean97.mp3,"Please call Stella. Ask her to bring these things with her from the store. Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snake for her brother Bob. We also need a small plastic snake and a big toy frog for the kids. She can scoop these things into three red bags and we will go meet her Wednesday at the train station.",69,69,69,100.0,"please, call, stella, ask, her, to, bring, these, things, with, her, from, the, store, six, spoons, of, fresh, snow, peas, five, thick, slabs, of, blue, cheese, and, maybe, a, snake, for, her, brother, bob, we, also, need, a, small, plastic, snake, and, a, big, toy, frog, for, the, kids, she, can, scoop, these, things, into, three, red, bags, and, we, will, go, meet, her, wednesday, at, the, train, station",
